,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
0,"Farmers block train traffic in Punjab, Haryana as part of 'rail roko' stir over Lakhimpur incident",SC directs insurance firm to pay Rs. 3.25 lakh as compensation to man for vehicle damage in accident,"Farmers block train traffic in Punjab, Haryana as part of 'rail roko' stir over Lakhimpur incident","Kannada TV actress Soujanya dies by suicide, hangs herself to death in Bengaluru apartment","Dera chief Gurmeet Ram Rahim Singh, 4 others get life term in murder case",Tents go empty at Singhu as worry grips protestors,"Minister says 3 BJP workers and driver lynched, stone-pelting led to car accident, his son was not present at the spot",FBI to investigate attack on Indian restaurant in New Mexico
1,Highest post-pandemic domestic air traffic seen on Sunday: Jyotiraditya  Scindia,"32 people killed, several injured in bus accident in Nepal","Lakhimpur incident: Samyukt Kisan Morcha to hold 'Rail Roko' on Oct 18 to demand dismissal, arrest of minister Ajay Mishra",Akhil Bharatiya Akhada Parishad head Mahant Narendra Giri found dead; 'suicide note' found at spot,Murder at Singhu border puts farmer unions in spot,Bangladesh PM Sheikh Hasina had survived 19 assassination attempts in four decades,,"Series on 2019 Pulwama attack in the works for SonyLIV, film-maker Onir to director it"
2,Delhi to soon have driving licences with QR codes,Good Samaritans to be awarded Rs 5000 for rushing road accident victims to hospital,"Congress delegation to meet President, present memorandum on Lakhimpur incident",CBI takes custody of three accused held on suicide abetment charge of Akhara Parishad chief Narendra Giri,Bhanwari Devi murder case key accused Mahipal Maderna dies after fight with cancer,"CBI seeks from West Bengal DGP details of murder, rape cases reported during post-poll violence in state",,SP MLA Nitin Agarwal attacks previous govts over no deputy speaker in UP Assembly
3,"Air India revival to help boost Delhi airport hub traffic, says DIAL chief","Minister says 3 BJP workers and driver lynched, stone-pelting led to car accident, his son was not present at the spot",Lakhimpur Kheri incident: Ashish Mishra brought to Reserve Police Lines,CBI seeks 10-day custody of three accused in alleged suicide of Mahant Narendra Giri,Tents go empty at Singhu as worry grips protestors,3 arrested on charge of attempting to murder Tripura CM Biplab Kumar Deb,"Train derails in US' Montana: At least three reportedly killed, many injured",ISKCON V-P writes to UN protesting against attack on devotees in Bangladesh
4,Worst ship traffic jam since August is new headache for supply chain,"New Rs 7,270 crore scheme for road safety in 14 states","Political, personal reasons behind Varun Gandhi's 'Hindu-Sikh' battle remark",UP recommends CBI probe in connection with death of Mahant Narendra Giri,Haryana police conducts probe in Singhu Border murder case; one suspect detained,Sushil Kumar wanted to re-establish supremacy: Delhi Police charge sheet in murder case,How to care for your car in monsoon season,How to identify symptoms of heart failure? Here are four myths related to heart
5,JNPT reports 40.4 pc growth in container traffic in H1 FY22,"Train derails in US' Montana: At least three reportedly killed, many injured",Lakhimpur Kheri violence: Sena to take part in October 11 Maha bandh to support farmers,FIR filed against actor Sahil Khan after model Manoj Patil's suicide attempt,UK lawmaker David Amess stabbed to death while meeting with constituents,"Mizoram police charges Assam CM, 6 officers, 200 policemen under attempt to murder","Small cars too need adequate number of airbags to ensure safety, says Nitin Gadkari",Security review after British MP David Amess stabbed to death in 'terror' attack
6,"10-year-old diesel, 15-year-old petrol vehicles to be impounded: Noida's winter plan to check pollution","1.20 lakh deaths due to negligence in road accidents in 2020, avg 328 daily, says NCRB data",Supreme Court on Lakhimpur Kheri Incident: Is this how a murder accused is treated?,Teen suicides push Tamil Nadu to secede from the Union of NEET,"Prime Minister silent on inflation, fuel prices, 'murder of farmers', says Rahul Gandhi",Assam police closes in on Mizoram MP K Vanlalvena,Rajat Bedi booked for death by negligence after man hit by actor's car succumbs to injuries,Pakistan-backed Jamaat behind attacks on Durga Puja pandals in Bangladesh: Sources
7,Domestic air passenger traffic grows 2-3% to about 69 lakh in September: Icra,"Madras High Court overrules Centre's notification, reduces max speed on expressways from 120 kmph to 80 kmph","Lakhimpur Kheri incident: Kin of killed BJP men, driver too get Rs 45 lakh",COVID-19:SC asks Centre to reconsider decision to exclude compensation for those who died by suicide,Supreme Court on Lakhimpur Kheri Incident: Is this how a murder accused is treated?,Delhi riots: Man who pointed gun at police constable seeks bail in attempt to murder case,Tesla on autopilot slams into Florida state police car,Taking Asprin to prevent heart attack or stroke? Here's why you should not
8,West Bengal: RLDA invites bids for leasing a vacant land parcel in Asansol,Pilot's non-adherence to standard operating procedure probable cause for Kozhikode plane crash: AAIB report,Kapil Sibal questions PM Modi's silence over  Lakhimpur incident,'This feeling doesn’t last': Survivors of suicide & suicidal thoughts share their stories,Dera chief Gurmeet Ram Rahim & 4 others convicted in murder case of former manager Ranjit Singh,Gulshan Kumar murder case: Abdul Rashid surrenders before Mumbai court as per HC order,Market Movers: HUL dusts off its cape to provide haven to iffy investors,Attack on federal structure of India: TMC on Centre extending BSF's jurisdiction
9,Google wants to use artificial intelligence to time traffic lights more efficiently,Road ministry to take 'advance action' for removal of accident spots on  national highways,"Lakhimpur tragedy heart-wrenching, shouldn't be compared to any other incident: Chhattisgarh CM",,17-year-old murder case: HC yet to pronounce verdict on pleas against MoS Mishra's acquittal,Wife of late Union minister P Rangarajan Kumaramangalam found murdered in Delhi; suspect held,Elon Musk says Tesla likely to launch humanoid robot prototype next year for 'dangerous' work that people don't want to do,Facebook to change rules on attacking public figures on its platforms
