Field1,Time,Field2
 Nashik city: Two killed in separate road accidents ,"TNN / Dec 27, 2021, 04:15 (IST)", Two people were killed in two separate road accidents in the city on Thursday and Friday. 
 Head constable Killed in accident ," Jan 03, 2022, 04:33 (IST)",  
 Bus driver gets 190 years in jail for crash that killed 22 in Madhya Pradesh ,"TNN / Jan 02, 2022, 06:48 (IST)"," Six years after a bus accident in MP's Panna killed 22 people, many of them migrant labourers, a local court has sentenced the driver to 190 years of imprisonment - 10 years each on 19 counts. The sentences will run separately, says the court order. "
" Kolkata: Couple, 11-year-old son killed as tourist bus hits bike on flyover ","TNN / Dec 25, 2021, 04:22 (IST)"," A couple and their 11-year-old son, travelling from Ekbalpore to Budge Budge to attend a wedding ceremony on a bike, were killed when a tourist bus hit the two-wheeler on the 7km-long Sampriti flyover connecting Jinjira Bazar and Bata More on Friday. "
 Soldier killed in road accident ,"TNN / Jan 02, 2022, 03:58 (IST)", An Indian Army soldier died on Saturday after he lost control over his motorcycle and rammed into a truck near the military Jalipa Cantt in Barmer. 
 Auto driver Killed in accident at Kadinamkulam ,"TNN / Jan 07, 2022, 04:49 (IST)",  
 Auto driver Killed in accident at Kadinamkulam ,"TNN / Jan 06, 2022, 04:15 (IST)"," A 34-year-old auto rickshaw driver died on Wednesday after he met with an accident at Santhipuram under Kadinamkulam police station limits. Joseph, son of Bernabas of Mariyanad, is the deceased. "
 Tamil Nadu: Head constable Killed in accident ,"TNN / Jan 03, 2022, 04:19 (IST)"," A 47-year-old head constable attached to the Peelamedu police station was killed in a road accident on Saturday night.The deceased was identified as R Ganesan, a resident of Kalapatti. "
" Youth, bizman killed in road accidents ","TNN / Jan 04, 2022, 03:54 (IST)"," Two persons, including a 27-year-old private firm employee, were killed in road accidents in the city. The first accident occurred around 9. "
 Two Killed in accident at Sinnar ,"TNN / Dec 18, 2021, 04:52 (IST)", Two men were killed and one seriously injured when the car in which they were travelling rammed a truck on the Nashik-Pune highway near Mohadari village in Sinnar taluka on Wednesday night. 
 104 killed in road accidents in 2021 ," Jan 01, 2022, 04:46 (IST)",  
 104 killed in road accidents in 2021 ,"TNN / Jan 01, 2022, 04:02 (IST)"," As many as 104 people lost their lives in road accidents in 2021 in the city as against 65 in 2020.In 2019, as many as 126 fatal accidents were reported, which killed 132 people.Data provided by the city police also showed that 6.21 crore was collected as fine from motorists in 2021. "
" Rajkot: Car rams into group of pilgrims, two killed ","TNN / Dec 27, 2021, 04:10 (IST)"," Two women died on the spot when a speeding car crashed into a group of pilgrims, who were going on foot to Dwarka, near Upleta town of Rajkot district early on Sunday. "
 3 people Killed in accident near Ghoti ,"TNN / Jan 06, 2022, 04:22 (IST)"," Three people, including a woman, were killed while two others got injured in an accident that took place on the Mumbai-Agra highway near Mundegaon Shivar on Wednesday evening. "
 Two killed in road accident in Rajouri ,"IANS / Dec 31, 2021, 04:08 (IST)", Two persons were killed and several others injured on Thursday in a road accident in Jammu and Kashmir’s Rajouri district. 
 75-year-old Killed in accident ,"TNN / Dec 31, 2021, 04:01 (IST)", A 75-year-old woman from the Adalaj area of Gandhinagar died after she was hit by a speeding truck near Adalaj Crossroads when she was crossing the road on Thursday. 
 Jawan killed as BSF Gypsy overturns in Jaisalmer district ,"TNN / Dec 11, 2021, 04:56 (IST)", A gypsy carrying jawans from BSF Barmer sector who were returning from firing range in Kishangarh at Jaisalmer on Thursday night overturned in which a jawan died on the spot while two other jawans were injured. 
 Six killed in three separate road accidents ,"TNN / Jan 05, 2022, 04:21 (IST)",  
