,video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,publishTime
1,YhJX-Xkxods,2022-01-01T10:59:57Z,UCumtYpCY26F6Jr3satUgMvA,"Techie Dead In Road Accident At Gachibowli, Hyderabad | Special Report | Ntv","Techie Dead In Road Accident At Gachibowli, Hyderabad | Special Report | Ntv - Watch Ntv Live Here: https://rb.gy/20wffs Watch ...",https://i.ytimg.com/vi/YhJX-Xkxods/default.jpg,120,90,https://i.ytimg.com/vi/YhJX-Xkxods/mqdefault.jpg,320,180,https://i.ytimg.com/vi/YhJX-Xkxods/hqdefault.jpg,480,360,NTV Telugu,none,2022-01-01T10:59:57Z
2,mvKzur1p6ic,2019-11-23T18:20:46Z,UCZFMm1mMw0F81Z37aaEzTUA,"On Camera, Speeding Car Skids Off Hyderabad Flyover, Crashes, Kills 1","A car skids off a flyover and comes crashing down on the road below killing one and injuring six, in dramatic visuals that have ...",https://i.ytimg.com/vi/mvKzur1p6ic/default.jpg,120,90,https://i.ytimg.com/vi/mvKzur1p6ic/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mvKzur1p6ic/hqdefault.jpg,480,360,NDTV,none,2019-11-23T18:20:46Z
3,zR9I8XiSKSA,2021-12-06T13:55:26Z,UCumtYpCY26F6Jr3satUgMvA,Traffic ACP about Narsingi Road Accident Incident | Road Accident Terror in Hyderabad | NTV,Traffic ACP about Narsingi Road Accident Incident | Road Accident Terror in Hyderabad | NTV Watch Ntv Live Here: ...,https://i.ytimg.com/vi/zR9I8XiSKSA/default.jpg,120,90,https://i.ytimg.com/vi/zR9I8XiSKSA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/zR9I8XiSKSA/hqdefault.jpg,480,360,NTV Telugu,none,2021-12-06T13:55:26Z
4,DzmbfeMDOao,2021-12-08T03:33:58Z,UCPXTXMecYqnRKNdqdVOGSFg,Hyderabad : Road accident at Panjagutta - TV9,Hyderabad : Road accident at Panjagutta - TV9 Watch LIVE: https://goo.gl/w3aQde <U+0C24><U+0C3E><U+0C1C><U+0C3E> <U+0C35><U+0C3E><U+0C30><U+0C4D><U+0C24><U+0C32> <U+0C15><U+0C4B><U+0C38><U+0C02> : https://tv9telugu.com/ ...,https://i.ytimg.com/vi/DzmbfeMDOao/default.jpg,120,90,https://i.ytimg.com/vi/DzmbfeMDOao/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DzmbfeMDOao/hqdefault.jpg,480,360,TV9 Telugu Live,none,2021-12-08T03:33:58Z
5,za9HomIFo0Y,2021-12-06T11:04:52Z,UCPXTXMecYqnRKNdqdVOGSFg,Hyderabad car accident : <U+0C24><U+0C3E><U+0C17><U+0C3F> <U+0C2C><U+0C02><U+0C21><U+0C3F> <U+0C28><U+0C21><U+0C3F><U+0C2A><U+0C47> <U+0C21><U+0C4D><U+0C30><U+0C48><U+0C35><U+0C30><U+0C4D><U+0C32><U+0C3E><U+0C30><U+0C3E>..!  <U+0C07><U+0C02><U+0C15><U+0C46><U+0C02><U+0C24><U+0C2E><U+0C02><U+0C26><U+0C3F><U+0C28><U+0C3F> <U+0C1A><U+0C02><U+0C2A><U+0C41><U+0C24><U+0C3E><U+0C30><U+0C41> ? - TV9,Watch LIVE: https://goo.gl/w3aQde <U+0C24><U+0C3E><U+0C1C><U+0C3E> <U+0C35><U+0C3E><U+0C30><U+0C4D><U+0C24><U+0C32> <U+0C15><U+0C4B><U+0C38><U+0C02> : https://tv9telugu.com/ <U+25BB>TV9 LIVE : https://bit.ly/2FJGPps <U+25BB>Subscribe ...,https://i.ytimg.com/vi/za9HomIFo0Y/default.jpg,120,90,https://i.ytimg.com/vi/za9HomIFo0Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/za9HomIFo0Y/hqdefault.jpg,480,360,TV9 Telugu Live,none,2021-12-06T11:04:52Z
6,xrX2plPtDPo,2021-12-28T02:52:27Z,UCumtYpCY26F6Jr3satUgMvA,<U+0C39><U+0C48><U+0C26><U+0C30><U+0C3E><U+0C2C><U+0C3E><U+0C26><U+0C4D> <U+0C05><U+0C35><U+0C41><U+0C1F><U+0C30><U+0C4D> <U+0C30><U+0C3F><U+0C02><U+0C17><U+0C4D> <U+0C30><U+0C4B><U+0C21><U+0C4D><U+0C21><U+0C41> <U+0C2A><U+0C48> <U+0C2A><U+0C4D><U+0C30><U+0C2E><U+0C3E><U+0C26><U+0C02>..! | Road Accident In Outer Ring Road : Hyderabad | NTV,<U+0C39><U+0C48><U+0C26><U+0C30><U+0C3E><U+0C2C><U+0C3E><U+0C26><U+0C4D> <U+0C05><U+0C35><U+0C41><U+0C1F><U+0C30><U+0C4D> <U+0C30><U+0C3F><U+0C02><U+0C17><U+0C4D> <U+0C30><U+0C4B><U+0C21><U+0C4D><U+0C21><U+0C41> <U+0C2A><U+0C48> <U+0C2A><U+0C4D><U+0C30><U+0C2E><U+0C3E><U+0C26><U+0C02>..! | Road Accident In Outer Ring Road : Hyderabad | NTV Watch Ntv ...,https://i.ytimg.com/vi/xrX2plPtDPo/default.jpg,120,90,https://i.ytimg.com/vi/xrX2plPtDPo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xrX2plPtDPo/hqdefault.jpg,480,360,NTV Telugu,none,2021-12-28T02:52:27Z
7,mGg-CTpAoMA,2020-12-13T04:35:26Z,UCAR3h_9fLV82N2FH4cE4RKw,"CCTV: Massive Road Accident Due to Signal Jump | Gachibowli, Hyderabad | TV5 News","CCTV: Massive Road Accident Due to Signal Jump | Gachibowli, Hyderabad | TV5 News TV5 News is Telugu Live news which ...",https://i.ytimg.com/vi/mGg-CTpAoMA/default.jpg,120,90,https://i.ytimg.com/vi/mGg-CTpAoMA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mGg-CTpAoMA/hqdefault.jpg,480,360,TV5 News ,none,2020-12-13T04:35:26Z
8,c7D1aRjt-S4,2021-12-18T08:57:41Z,UCfymZbh17_3T_UhgjkQ9fRQ,<U+0C17><U+0C1A><U+0C4D><U+0C1A><U+0C3F><U+0C2C><U+0C4C><U+0C32><U+0C3F> <U+0C18><U+0C1F><U+0C28><U+0C2A><U+0C48> <U+0C2C><U+0C3E><U+0C27><U+0C3F><U+0C24><U+0C41><U+0C32> <U+0C15><U+0C41><U+0C1F><U+0C41><U+0C02><U+0C2C> <U+0C38><U+0C2D><U+0C4D><U+0C2F><U+0C41><U+0C32><U+0C41>: Gachibowli Car Incident | Hyderabad | 10TV News,<U+0C37><U+0C3E><U+0C30><U+0C4D><U+0C1F><U+0C4D> <U+0C2B><U+0C3F><U+0C32><U+0C4D><U+0C2E><U+0C4D> <U+0C2A><U+0C47><U+0C30><U+0C41><U+0C24><U+0C4B> <U+0C2E><U+0C3E> <U+0C1A><U+0C46><U+0C32><U+0C4D><U+0C32><U+0C3F><U+0C28><U+0C3F> <U+0C24><U+0C40><U+0C38><U+0C41><U+0C15><U+0C46><U+0C33><U+0C4D><U+0C32><U+0C3E><U+0C30><U+0C41>: Gachibowli Car Incident | Hyderabad | 10TV News.,https://i.ytimg.com/vi/c7D1aRjt-S4/default.jpg,120,90,https://i.ytimg.com/vi/c7D1aRjt-S4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/c7D1aRjt-S4/hqdefault.jpg,480,360,10TV News Telugu,none,2021-12-18T08:57:41Z
9,xih2OHEWzOI,2020-08-11T04:12:42Z,UC_wOU3PYfF5yNQ00nthAkfA,Techie killed in road accident in Hyderabad - TV9,Watch iSmart News latest episode: https://www.youtube.com/playlist?list=PLlRkq6AzK4ZQKcT9lobrou4Mu6logsops Techie killed ...,https://i.ytimg.com/vi/xih2OHEWzOI/default.jpg,120,90,https://i.ytimg.com/vi/xih2OHEWzOI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xih2OHEWzOI/hqdefault.jpg,480,360,TV9 Today,none,2020-08-11T04:12:42Z
10,totN6dpOU1c,2019-11-23T11:41:22Z,UCAR3h_9fLV82N2FH4cE4RKw,Top View : Hyderabad Gachibowli Biodiversity Flyover Car CCTV Footage | TV5 News,Top View : Hyderabad Gachibowli Biodiversity Flyover Car CCTV Footage | TV5 News Car falls off newly-inaugurated Biodiversity ...,https://i.ytimg.com/vi/totN6dpOU1c/default.jpg,120,90,https://i.ytimg.com/vi/totN6dpOU1c/mqdefault.jpg,320,180,https://i.ytimg.com/vi/totN6dpOU1c/hqdefault.jpg,480,360,TV5 News ,none,2019-11-23T11:41:22Z
